Subject,time,CC_n,CE_n,IC_n,IE_n,NC_n,NE_n
3,581,0,0,0,0,0,0
3,601,0,0,0,0,0,0
3,621,0,0,0,0,0,0
3,641,0,0,0,0,0,0
3,661,0,0,0,0,0,0
3,681,0,0,0,0,0,0
4,1,0,0,0,0,0,0
4,21,0,0,0,0,0,0
4,41,0,0,0,0,0,0
4,61,0,0,0,0,0,0
4,81,0,0,0,0,0,0
4,101,0,0,0,0,0,0
4,121,0,0,0,0,0,0
4,141,0,0,0,0,0,0
4,161,0,0,0,0,0,0
4,181,0,0,0,0,0,0
4,201,0,0,0,0,0,0
4,221,0,0,0,0,0,0
4,241,0,0,0,0,0,0
4,261,0,0,0,0,0,0
4,281,3,0,0,5,1,0
4,301,42,2,3,25,8,3
4,321,238,16,44,108,96,24
4,341,418,42,182,174,305,76
4,361,462,68,286,198,418,115
4,381,300,50,256,165,353,113
4,401,156,31,171,92,181,69
4,421,47,11,75,53,67,19
4,441,15,7,30,12,29,10
4,461,7,3,11,5,7,4
4,481,0,1,2,2,0,0
4,501,1,0,1,1,0,0
4,521,1,0,0,0,0,0
4,541,0,0,1,0,0,0
4,561,0,0,0,0,0,0
4,581,0,0,0,1,0,0
4,601,0,0,0,0,0,0
4,621,0,0,0,0,0,0
4,641,0,0,0,0,0,0
4,661,0,0,0,0,0,0
4,681,0,0,0,0,0,0
5,1,0,0,0,0,0,0
5,21,0,0,0,0,0,0
5,41,0,0,0,0,0,0
5,61,0,0,0,0,0,0
5,81,0,0,0,0,0,0
5,101,0,0,0,0,0,0
5,121,0,0,0,0,0,0
5,141,0,0,0,0,0,0
5,161,0,0,0,0,0,0
5,181,0,0,0,0,0,0
5,201,1,0,0,0,0,0
5,221,3,0,0,0,0,0
5,241,0,0,0,0,1,1
5,261,6,0,1,4,3,2
5,281,34,3,4,26,22,14
5,301,99,11,20,60,73,30
5,321,209,43,76,126,156,99
5,341,300,63,182,141,271,115
5,361,292,69,215,145,249,121
5,381,231,73,202,89,202,74
5,401,156,34,156,77,134,37
5,421,64,20,91,31,72,24
5,441,28,10,54,22,40,14
5,461,10,2,31,4,12,6
5,481,4,2,9,2,5,3
5,501,1,0,4,1,1,0
5,521,0,0,0,0,1,0
5,541,0,0,0,0,0,0
5,561,0,0,0,0,0,0
5,581,0,0,0,0,0,0
5,601,0,0,0,0,0,0
5,621,0,0,0,0,0,0
5,641,0,0,0,0,0,0
5,661,0,0,0,0,0,0
5,681,0,0,0,0,0,0
6,1,0,0,0,0,0,0
6,21,0,0,0,0,0,0
6,41,0,0,0,0,0,0
6,61,0,0,0,0,0,0
6,81,0,0,0,0,0,0
6,101,0,0,0,0,0,0
6,121,0,0,0,0,0,0
6,141,0,0,0,1,0,0
6,161,0,0,0,0,0,0
6,181,0,0,0,0,0,0
6,201,0,0,1,0,0,0
6,221,0,0,0,0,0,0
6,241,0,0,1,0,0,0
6,261,2,0,0,0,1,0
6,281,3,1,0,4,0,0
6,301,4,2,1,10,3,3
6,321,36,3,1,19,19,13
6,341,100,12,13,75,48,39
6,361,194,36,35,127,113,73
6,381,279,60,122,180,200,115
6,401,255,74,193,170,237,123
6,421,209,82,187,120,183,110
6,441,104,48,134,60,96,54
6,461,38,26,48,19,48,23
6,481,12,5,22,4,10,9
6,501,6,4,9,4,12,6
6,521,3,1,8,0,3,2
6,541,2,0,0,0,4,0
6,561,0,0,1,1,0,2
6,581,0,0,0,0,0,0
6,601,0,0,1,0,0,1
6,621,0,0,0,0,1,0
6,641,0,0,0,0,0,0
6,661,0,0,0,0,0,0
6,681,0,0,0,0,0,0
7,1,0,0,0,0,0,0
7,21,0,0,0,0,0,0
7,41,0,0,0,0,0,0
7,61,0,0,0,0,0,0
7,81,0,0,0,0,0,0
7,101,0,0,0,0,0,0
7,121,0,0,0,0,0,0
7,141,0,0,0,0,0,0
7,161,0,0,0,0,1,0
7,181,0,0,0,0,0,0
7,201,0,0,0,0,0,0
7,221,2,0,0,0,0,0
7,241,2,0,1,3,0,1
7,261,9,1,1,10,9,6
7,281,49,5,10,29,25,16
7,301,151,34,66,84,103,66
7,321,322,106,215,156,298,132
7,341,413,165,413,195,393,174
7,361,266,99,278,131,273,100
7,381,132,51,117,63,118,59
7,401,37,9,45,29,42,16
7,421,15,3,26,8,18,4
7,441,2,1,5,2,9,4
7,461,3,1,2,0,3,0
7,481,2,1,0,0,0,0
7,501,0,0,0,0,1,0
7,521,0,0,0,0,0,0
7,541,0,0,0,0,2,0
7,561,0,0,0,0,0,0
7,581,0,0,0,0,0,0
7,601,0,0,0,0,0,0
7,621,0,0,0,0,0,0
7,641,0,0,0,0,0,0
7,661,0,0,0,0,0,0
7,681,0,0,0,0,0,0
8,1,0,0,0,0,0,0
8,21,0,0,0,0,0,0
8,41,0,0,0,0,0,0
8,61,0,0,0,0,0,0
8,81,0,0,0,0,0,0
8,101,0,0,0,0,0,0
8,121,0,0,0,0,0,0
8,141,0,0,0,0,0,0
8,161,0,0,0,0,0,0
8,181,0,0,0,0,0,0
8,201,0,0,0,0,0,0
8,221,0,0,0,0,0,0
8,241,4,0,0,1,0,0
8,261,8,0,1,5,1,0
8,281,33,1,8,28,15,6
8,301,127,15,30,59,64,38
8,321,238,40,102,96,161,83
8,341,296,86,205,131,252,116
8,361,286,84,295,114,304,94
8,381,201,89,249,98,235,75
8,401,132,48,127,68,149,39
8,421,63,19,92,23,73,25
8,441,35,11,32,17,41,10
8,461,7,5,21,7,20,4
8,481,8,0,9,4,8,4
8,501,3,0,6,1,2,1
8,521,2,0,4,0,0,1
8,541,1,0,1,0,2,0
8,561,0,0,0,0,1,2
8,581,0,0,0,0,0,0
8,601,0,0,0,0,0,0
8,621,0,0,0,0,0,0
8,641,0,0,0,0,0,0
8,661,0,0,0,0,0,0
8,681,0,0,0,0,0,0
9,1,0,0,0,0,0,0
9,21,0,0,0,0,0,0
9,41,0,0,0,0,0,0
9,61,0,0,0,0,0,0
9,81,0,0,0,0,0,0
9,101,1,0,0,0,0,0
9,121,0,0,0,0,0,0
9,141,0,0,0,0,0,0
9,161,0,0,0,1,0,0
9,181,0,0,0,1,0,0
9,201,1,0,2,0,0,0
9,221,1,0,0,2,0,0
9,241,4,0,0,3,2,0
9,261,10,4,7,11,3,4
9,281,46,10,15,30,10,9
9,301,115,24,36,80,39,30
9,321,212,44,85,107,121,65
9,341,277,57,148,137,230,87
9,361,308,69,245,139,345,115
9,381,233,64,268,74,259,80
9,401,139,37,171,54,180,46
9,421,101,13,93,42,121,17
9,441,62,14,65,20,56,15
9,461,29,0,29,16,26,9
9,481,10,0,10,6,8,4
9,501,0,0,8,5,6,1
9,521,0,1,1,0,1,1
9,541,1,0,0,1,0,1
9,561,0,0,1,0,1,0
9,581,0,0,0,0,0,0
9,601,0,0,0,0,0,0
9,621,0,0,0,0,0,0
9,641,0,0,0,0,0,0
9,661,0,0,0,0,0,0
9,681,0,0,0,0,0,0
10,1,0,0,0,0,0,0
10,21,0,0,0,0,0,0
10,41,0,0,0,0,0,0
10,61,0,0,0,0,0,0
10,81,0,0,0,0,0,0
10,101,0,0,0,0,0,0
10,121,0,0,0,0,0,0
10,141,0,0,0,0,0,0
10,161,0,0,0,0,0,0
10,181,0,0,0,0,0,0
10,201,0,0,0,0,0,0
10,221,0,0,0,0,0,0
10,241,2,0,0,0,0,0
10,261,6,1,0,3,1,0
10,281,30,0,0,15,6,2
10,301,119,0,12,43,34,12
10,321,280,22,50,98,167,59
10,341,439,54,189,185,368,125
10,361,372,70,362,121,396,125
10,381,199,62,302,93,273,74
10,401,122,42,197,76,127,57
10,421,43,18,61,39,53,19
10,441,7,3,28,13,14,7
10,461,2,0,2,2,2,1
10,481,2,0,1,1,0,0
10,501,0,0,0,0,0,0
10,521,0,0,0,0,0,0
10,541,0,0,0,0,0,0
10,561,0,0,0,0,0,0
10,581,0,0,0,0,0,0
10,601,0,0,0,0,0,0
10,621,0,0,0,0,0,0
10,641,0,0,0,0,0,0
10,661,0,0,0,0,0,0
10,681,0,0,0,0,0,0
11,1,0,0,0,0,0,0
11,21,0,0,0,0,0,0
11,41,0,0,0,0,0,0
11,61,0,0,0,0,0,0
11,81,0,1,0,0,0,0
11,101,0,0,0,0,0,0
11,121,0,0,0,0,0,0
11,141,0,0,0,0,0,0
11,161,0,0,0,0,0,0
11,181,0,0,0,0,1,0
11,201,1,1,0,1,1,0
11,221,2,0,2,6,6,3
11,241,16,2,5,15,12,13
11,261,68,11,7,55,52,44
11,281,173,19,30,108,126,71
11,301,394,55,133,190,264,108
11,321,398,79,276,185,320,146
11,341,263,82,309,110,271,93
11,361,92,33,180,38,120,31
11,381,42,12,69,10,43,17
11,401,17,1,30,4,9,2
11,421,3,1,3,2,4,0
11,441,0,0,3,0,5,0
11,461,0,0,0,0,2,0
11,481,0,0,0,0,0,0
11,501,0,0,0,0,1,0
11,521,0,0,0,0,0,0
11,541,0,0,0,0,0,0
11,561,0,0,0,0,0,0
11,581,0,0,0,0,0,0
11,601,0,0,0,0,0,0
11,621,0,0,0,0,0,0
11,641,0,0,0,0,0,0
11,661,0,0,0,0,0,0
11,681,0,0,0,0,0,0
12,1,0,0,0,0,0,0
12,21,0,0,0,0,0,0
12,41,0,0,0,0,0,0
12,61,0,0,0,0,0,0
12,81,0,0,0,1,0,0
12,101,0,0,0,0,0,0
12,121,1,0,0,1,0,0
12,141,1,0,0,0,0,0
12,161,1,0,0,0,0,0
12,181,1,0,0,1,0,0
12,201,0,0,0,3,0,0
12,221,6,0,0,3,0,0
12,241,16,0,0,16,1,0
12,261,30,0,2,31,4,1
12,281,94,1,0,70,12,7
12,301,166,5,3,126,40,28
12,321,262,18,22,156,121,53
12,341,317,22,119,160,245,84
12,361,338,51,256,129,361,89
12,381,235,38,243,79,324,62
12,401,119,26,172,58,173,45
12,421,67,10,82,27,98,18
12,441,26,4,53,15,42,12
12,461,7,0,22,6,22,1
12,481,2,1,7,0,8,3
12,501,1,0,3,0,2,0
12,521,1,0,0,1,3,0
12,541,0,0,0,0,2,0
12,561,1,0,0,0,0,0
12,581,0,0,0,0,0,0
12,601,0,0,1,0,0,0
12,621,0,0,0,0,0,0
12,641,0,0,0,0,0,0
12,661,0,0,0,0,0,0
12,681,0,0,0,0,0,0
13,1,0,0,0,0,0,0
13,21,0,0,0,0,0,0
13,41,0,0,0,0,0,0
13,61,0,0,0,0,0,0
13,81,0,0,0,0,0,0
13,101,0,0,0,0,0,0
13,121,0,0,0,0,0,0
13,141,0,0,0,0,0,0
13,161,0,0,0,0,0,0
13,181,0,0,0,0,0,0
13,201,0,0,0,0,0,0
13,221,0,0,0,0,0,0
13,241,0,0,0,0,0,0
13,261,0,0,0,0,0,0
13,281,2,0,0,5,0,0
13,301,20,1,2,13,0,0
13,321,68,5,12,31,5,5
13,341,154,27,49,73,29,18
13,361,265,46,135,95,107,43
13,381,307,73,217,143,229,96
13,401,276,66,261,96,310,102
13,421,193,64,222,99,310,82
13,441,134,25,149,44,235,69
13,461,80,10,113,27,115,22
13,481,21,9,48,14,42,9
13,501,9,4,15,4,15,3
13,521,2,0,5,1,5,2
13,541,1,0,4,0,3,0
13,561,1,0,2,0,2,0
13,581,0,0,0,0,2,0
13,601,0,0,0,0,0,0
13,621,0,0,0,0,0,0
13,641,0,0,0,0,0,0
13,661,0,0,0,0,0,0
13,681,0,0,0,0,0,0
